"(0, 0)","(1, 0)","(2, 0)","(3, 0)","(4, 0)","(5, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(4, 1)","(5, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(0, 4)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(0, 5)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)"
29.655230500043047,0,25.068127492320038,23.897054828378764,23.018124266691373,24.172397296658076,28.048591873261984,25.538247264093908,24.24105502991604,24.043447253523468,0,21.82111678539461,26.603730060986248,25.241656545828704,22.954197948542674,22.890476695738194,23.01036602246993,21.88023908882879,25.209067655677185,24.107720479203508,22.888329755381037,20.88976852249315,21.786378273326473,22.020754484074292,23.967745486978743,0,0,0,19.606540257072925,20.755675731887386,22.592689143504384,21.38397260171332,20.190302065476395,19.011103455689007,18.566462592163372,19.529780229353822
30.358678195042614,0,25.735566043618842,24.560066680025795,23.66212726375809,24.816400293724794,28.75203963063233,26.241695240805832,24.940502051807787,24.706633150136497,0,22.465119782461333,27.307178037698172,25.945105014887556,23.657201078040746,23.552902057920836,23.656510752468314,22.524555145473602,25.9125162336543,24.81116990877452,23.591724862217628,21.552053637866692,22.43235166744636,22.66139311863774,24.671195189718123,0,0,0,20.250670975381638,21.39629693429391,23.296143938463718,22.087436376794713,20.89378610952128,19.71491772008373,19.206713223722623,20.170023218985012
31.05509141309219,0,26.399499047993363,25.219971589732193,24.29969023085414,25.453963260820846,29.44845288274613,26.93810861277445,25.633306575762518,25.366639195572915,0,23.10268274955738,28.003591409666793,26.64151865566541,24.35321363627946,24.211710926128504,24.297624779090956,23.163481293163716,26.60892993395741,25.507584074496755,24.288090235835,22.210282006310035,23.07308774484885,23.295987705858078,25.367609504618397,0,0,0,20.889472343675394,22.03087317301897,23.99256104146734,22.78385840186862,21.59021926010663,20.411432307317433,19.84093942514745,20.804164079788833
31.744540498961268,0,27.059651002762575,25.876477713755953,24.930877568279232,26.085150598245935,30.137901987225554,27.627557782710483,26.319500577060374,26.023212130430103,0,23.733870086982474,28.693040579602826,27.33096797249595,25.042301059635165,24.866811246015423,24.933862854749968,23.797187200126167,27.298379283293066,26.197033677980325,24.977495670340765,22.864431673581475,23.708839526544683,23.924663355191683,26.057059189608715,0,0,0,21.52299970007303,22.65953646919234,24.68201225254803,23.473312308412122,22.27967926778106,21.100917250853303,20.469208716306216,21.432316800019716
32.42709509397166,0,27.715779600590434,26.52931288876238,25.555753032330074,26.71002606229677,30.820456592400998,28.310112423648075,26.999119018084077,26.676098907336275,0,24.358745551033316,29.37559522054042,28.01352269365383,25.72452926270951,25.51802423482477,25.56535522712999,24.425814191737217,27.980934022211507,26.87958855576526,25.66001054922804,23.514461691335875,24.33973978881052,24.54754902057434,26.739614111910637,0,0,0,22.15147198578066,23.28240445806908,25.36456800970516,24.155869541083643,22.962239843283054,21.783487595751556,21.091623538837162,22.0546039097166
33.10282414303194,0,28.367672406916398,27.178233211481395,26.1743797417404,27.328652771707098,31.496185647014414,28.98584149779448,27.67219961699597,27.32506238251642,0,24.97737226044364,30.05132429468682,28.689251811629934,26.39996380053773,26.165168899104444,26.19220134411659,25.049484502476115,28.656663149887713,27.555317759284005,26.335703577547907,24.16025047744704,24.965900400366067,25.164772470625707,27.41534333974982,0,0,0,22.77502768067906,23.899612592236007,26.040297694161314,24.83160003282105,23.63797216550829,22.45922449983899,21.708312753432715,22.671140848197535
33.77179590160162,0,29.015143876645116,27.82302281008357,26.786820184056623,27.941093214023322,32.165157408617375,29.654813270068434,28.338782450791186,28.197378905608804,0,25.589812702759865,30.720296066960774,29.35822360784274,27.068669851070755,26.808073756273785,26.81447415129681,25.668295792916208,29.325634951399966,28.22428960223155,27.004642735783413,24.84009375169654,25.58740073639954,25.802128340189274,28.084315195981535,0,0,0,23.393782504108515,24.51128918375415,26.709269800053114,25.50057258027433,24.306945714764915,23.128200406050688,22.46572809255343,23.282059079612313
34.4340779425856,0,29.658032656719126,28.48601372015648,27.393136221949685,28.54740925191639,32.82743945125838,30.31709531853817,28.998909668938072,28.852794261096,0,26.196128740652927,31.382578115430512,30.020505669390637,27.730712190882336,27.626755349476564,27.432224113196884,26.284865691079037,29.98791701584246,28.88657168930613,27.666895311065954,25.500845630029524,26.21064351492377,26.41685364657193,28.74659729031312,0,0,0,24.00782348032684,25.13788774252831,27.371552030869793,26.162855052536386,24.969228735100724,23.79048468649185,23.08249143233458,23.9019719635777
35.08973716315975,0,30.29619915436161,29.125703854265545,27.99338909946382,29.147662129430522,33.483098672737654,30.97275454320159,29.652625232194776,29.522300595692624,0,26.79638161816706,32.038237340093936,30.676164901197552,28.386155183177785,28.272543748891877,28.06357198066694,26.895006753987197,30.643576249230676,29.54223093505821,28.32252792062334,26.17181358333534,26.82617372603548,27.02773584632267,29.402256540029228,0,0,0,24.624255074882285,25.74757349914763,28.0272113551852,26.818514508851084,25.624888491158764,24.446145126125163,23.695749404775746,24.52066896827774
35.73883979152815,0,30.929523344523474,29.760742170800256,28.58763944820281,29.741912478169514,34.1322013016005,31.62185717380374,30.299974677632058,30.167305696610846,0,27.390631966906053,32.68733997069608,31.325267535702118,29.03506276387746,28.930185061009187,28.687936508473243,27.5149366376727,31.292678884599,30.191333577180018,28.971606527842415,26.82143348902418,27.45310440222436,27.63238239682132,30.051359184316485,0,0,0,25.233140619849063,26.35277781911652,28.676314040242744,27.467617266059197,26.273991412259498,25.095248419970527,24.31012461465266,25.12550363025722
36.38145139361287,0,31.55790279305599,30.389059227736293,29.175947293454414,30.330220323421116,34.774812903955315,32.26446877710868,30.941004906384258,30.807981740633725,0,27.978939812157655,33.32995157400102,31.967879141138695,29.67749842761805,29.567083039678515,29.30891276288032,28.12812413671982,31.935290490507423,30.833945186777736,29.61419645300684,27.464922606504498,28.071773487409516,28.245293010142305,30.693970795097073,0,0,0,25.84986461201929,26.951852783740083,29.31892567330255,28.110228938551977,26.916603174346267,25.73786038566369,24.91650182389301,25.725527228986365
